#,App name,Category,Active,Link,Dataset
1,Adventure In Forest Island,Adventure Games,1,http://apk.support/app/com.adventuregame.inforestisland,Our Dataset
2,Adventures Of Chipmunks: Rescue Rangers,Adventure Games,1,http://apk.support/app/com.adventuresofchipmunks.rescuerangers,Our Dataset
3,,,0,http://apk.support/app/com.andersonic.play,Our Dataset
4,GBA Emulator APK,Arcade Games,1,http://apk.support/app/com.androidapk.gbaemulator,Our Dataset
5,Asuna X Warrior: The Flash Sword Legend,Action Games,1,http://apk.support/app/com.asunaxwarrior.theflashswordlegend,Our Dataset
6,Asuna X Warrior: The Flash Sword Legend,Action Games,1,http://apk.support/app/com.asunaxwarrior.theflashswordlegend2,Our Dataset
7,,,0,http://apk.support/app/com.avengersleague.mobabattle,Our Dataset
8,Aven League M.oba Battle,Arcade Games,1,http://apk.support/app/com.avengersleague.mobabattle2,Our Dataset
9,Bad Ice Cream Ice-Powers,Puzzle Games,1,http://apk.support/app/com.badicecream.icepowers,Our Dataset
10,,,0,http://apk.support/app/com.badicecream.icepowers.bnn,Our Dataset
11,Bad Ice Cream Deluxe: Fruit Attack,Arcade Games,1,http://apk.support/app/com.badicecreamdeluxe.fruitattack,Our Dataset
12,Nine-Tails Transformation,Simulation Games,1,http://apk.support/app/com.banjolab.ninetailstransformation,Our Dataset
13,Moba Kage: War Of Heroes,Action Games,1,http://apk.support/app/com.battleflag.senki.warofheroes,Our Dataset
14,Moba Kage: War Of Heroes,Action Games,1,http://apk.support/app/com.battleflag.senki.warofheroes2,Our Dataset
15,Battle Of Pirates: Legend Return,Action Games,1,http://apk.support/app/com.battleofpirates.legendreturn,Our Dataset
16,Battle Of Heroes Universes,Adventure Games,1,http://apk.support/app/com.battleofsaiyan.universes,Our Dataset
17,Battle Of Super Saiyan Blue Goku Warrior,Action Games,1,http://apk.support/app/com.battleofsuper.warriorssuperblue,Our Dataset
18,Battle Of Z Dragon Smash,Simulation Games,1,http://apk.support/app/com.battleofz.sragonsmash,Our Dataset
19,Battle Of Z Dragon Smash,Arcade Games,1,http://apk.support/app/com.battleofz.sragonsmash2,Our Dataset
20,Battle Of Dragon Z - Tag Team,Action Games,1,http://apk.support/app/com.battleofz.superwarriors,Our Dataset
21,,,0,http://apk.support/app/com.battletoads.dragonbro,Our Dataset
22,,,0,http://apk.support/app/com.battletoadsfighter.toadmania,Our Dataset
23,Super Blue Smash Jungle Adventure,Adventure Games,1,http://apk.support/app/com.bestclassic.supersmashflash,Our Dataset
24,Black Flag: Pirates VS Fairy Super Battle,Adventure Games,1,http://apk.support/app/com.blackflag.piratesvsfairysuperbattle2,Our Dataset
25,Blaze Ring Crazy World,Adventure Games,1,http://apk.support/app/com.blazering.crazyworld,Our Dataset
26,,,0,http://apk.support/app/com.blazering.dashwarriors,Our Dataset
